Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,362,Sports Building/Hall/Facility,Hillfields Football Club Premises,,,,,BS16 ,Hillfields,,,Freehold,Vacant,Land and Building(s),,0.0479,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,363,Primary School,St Johns Church Of England School,St Johns Church Of England School Worrall Road Clifton Bristol,,Worrall Road,Bristol,BS8 2UH,Clifton Down,357307,174613,Mixed Title,,Land and Building(s),1807.6,0.594777,Yes,Direct Service
"Bristol, City of",2/2/2024,367,Library,Redland Library,Redland Library Whiteladies Road Redland Bristol BS8 2PY,,Whiteladies Road,Bristol,BS8 2PY,Clifton Down,357665,174215,Freehold,,Land and Building(s),292,0.052866,Yes,Direct Service
"Bristol, City of",2/2/2024,369,Primary School,Cotham Gardens Primary School,Cotham Gardens Primary School Cotham Grove Cotham Bristol BS6 6AL,,Cotham Grove,Bristol,BS6 6AL,Cotham,358523,174331,Freehold,,Land and Building(s),2389,0.469088,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,372,House/Houses,Cotham Gardens Primary School House,Cotham Gardens Primary School House 18 Cotham Grove Cotham Bristol BS6 6AL,18,Cotham Grove,Bristol,BS6 6AL,Cotham,358514,174340,Freehold,,Land and Building(s),92.6,0,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,138831,Sports Building/Hall/Facility,Bristol Family Cycling Centre,Bristol Family Cycling Centre Hengrove Park Bamfield Hengrove Bristol  BS14 0FE,,,,BS14 0FE,Hengrove & Whitchurch Park,359887,168128,Freehold,,Land and Building(s),,0.943662,Yes,Direct Service
"Bristol, City of",2/2/2024,224,Youth Club/Centre,Sea Mills Youth Club,Sea Mills Youth Club Woodleaze Sea Mills Bristol BS9 2HX,,Bluebell Close,Bristol,BS9 2HX,Stoke Bishop,354857,176551,Freehold,,Land and Building(s),,0.154926,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,226,House/Houses,Sea Mills Primary School House,Sea Mills Primary School House Riverleaze Sea Mills Bristol BS9 2HL,,Riverleaze,Bristol,BS9 2HL,Stoke Bishop,354950,176246,Freehold,,Land and Building(s),,0.034576,Yes,Direct Service
"Bristol, City of",2/2/2024,141,House Service Occupancy,Oasis Academy Brightstowe School House,Oasis Academy Brightstowe School House Penpole Lane Shirehampton Bristol BS11 0EA,,Penpole Lane,Bristol,BS11 0EA,Avonmouth & Lawrence Weston,353354,177167,Freehold,,Land and Building(s),,0.042037,Yes,Direct Service
"Bristol, City of",2/2/2024,144,Special School,Kingsweston Special School,Kingsweston Special School Napier Miles Road Kingsweston Bristol BS11 0UT,,Napier Miles Road,Bristol,BS11 0UT,Avonmouth & Lawrence Weston,354402,177556,Freehold,,Land and Building(s),3118.1,1.562037,Yes,Direct Service
"Bristol, City of",2/2/2024,149,E P Home/Dwellings,Former Coombe EPH ,,,,,BS9 ,Westbury-on-Trym & Henleaze,,,Freehold,Vacant,Land only,,0.239062,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,150,Library,Sea Mills Library,Sea Mills Library Sylvan Way Sea Mills Bristol BS9 2NA,,Sylvan Way,Bristol,BS9 2NA,Avonmouth & Lawrence Weston,355020,177143,Freehold,,Land and Building(s),234.4,0.095127,Yes,Direct Service
"Bristol, City of",2/2/2024,155,Library,Westbury Library,Westbury Library Falcondale Road Westbury-on-Trym Bristol BS9 3JZ,,Falcondale Road,Bristol,BS9 3JZ,Westbury-on-Trym & Henleaze,356896,177271,Freehold,,Land and Building(s),251.5,0.0735,Yes,Direct Service
"Bristol, City of",2/2/2024,87915,Land-Garden,Henshaw Walk - Land At Rear Of 3-9,Henshaw Walk - Land At Rear Of 3-9 Henshaw Walk Speedwell Bristol,5,Henshaw Walk,Bristol,BS15 1QG,Hillfields,364378,174739,Freehold,,Land only,,0.026354,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,124348,Sports Building/Hall/Facility,Netham Sports And Community Pavilion,Netham Sports And Community Pavilion Netham Park Avonvale Road Redfield Bristol BS5 9RN,,Avonvale Road,Bristol,BS5 9RN,Easton,361427,172963,Freehold,,Land and Building(s),688,0.073519,Yes,Direct Service
"Bristol, City of",2/2/2024,138448,House/Houses,75 Station Road,75 Station Road Henbury Bristol BS10 7QH,75,Station Road,Bristol,BS10 7QH,Henbury & Brentry,356281,179060,Freehold,,Land and Building(s),,0.113361,Yes,Direct Service
"Bristol, City of",2/2/2024,260,Secondary School,Site Of Former Romney Avenue Junior School,Site Of Former Romney Avenue Junior School Romney Avenue Lockleaze Bristol BS7 9SX,,Romney Avenue,Bristol,BS7 9SX,Lockleaze,360752,176492,Freehold,,Land only,0,1.723,,Assets Under Construction
"Bristol, City of",2/2/2024,265,Land-Unused Land,Former Lockleaze Day Centre,,,,,BS7 ,Lockleaze,,,Freehold,Vacant,Land only,,0.717695,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,180,Land-Playingfield/Playground/Sports,Dorian Road Playing Fields,Dorian Road Playing Fields Horfield Bristol BS7 0XU,,Dorian Road,Bristol,BS7 0XU,Horfield,359593,177501,Freehold,,Land only,,3.173452,Yes,Direct Service
"Bristol, City of",2/2/2024,182,Land/Bldgs held for Development,45 Bishopthorpe Road - Site Of Former Childrens Home,45 Bishopthorpe Road - Site Of Former Childrens Home Horfield Bristol BS10 5AB,,Bishopthorpe Road,Bristol,BS10 5AB,Horfield,358929,177094,Freehold,,Land and Building(s),189.2,0.105318,Yes,Direct Service
"Bristol, City of",2/2/2024,183,Day Centre,148 Rodbourne Road,148 Rodbourne Road Horfield Bristol BS10 5AN,148,Rodbourne Road,Bristol,BS10 5AN,Horfield,359302,177020,Freehold,,Land and Building(s),211.4,0.0926,Yes,Direct Service
"Bristol, City of",2/2/2024,184,Primary School,Upper Horfield Community School And Early Years,Upper Horfield Community School And Early Years Sheridan Road Horfield Bristol BS7 0PU,,Sheridan Road,Bristol,BS7 0PU,Horfield,360042,177960,Freehold,,Land and Building(s),1415.7,0.524366,Yes,Direct Service
"Bristol, City of",2/2/2024,185,Offices,Bristol Education Centre,Bristol Education Centre Sheridan Road Horfield Bristol BS7 0PU,,,,BS7 0PU,Horfield,360009,177967,Freehold,,Land and Building(s),1806.3,0.682713,Yes,Direct Service
"Bristol, City of",2/2/2024,9009,Land-Public Park,King George V Memorial Park,King George V Memorial Park Owen Square Easton Bristol BS5 6AN,,Owen Street,Bristol,BS5 6AN,Easton,361065,173832,Freehold,,Land only,,1.584544,Yes,Community
"Bristol, City of",2/2/2024,88059,Community Centre/Facilities,Part Of Malcolm X Community Centre,Part Of Malcolm X Community Centre City Road Bristol BS2 8YH,,City Road,Bristol,BS2 8YH,Ashley,359479,174144,Freehold,,Land and Building(s),,0.120903,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,87896,Store/Depot/Warehouse,King Street - Warehouse At Rear Of 17,King Street - Warehouse At Rear Of 17 City Centre Bristol BS1 4EF,17,King Street,Bristol,BS1 4EF,Central,358777,172688,Freehold,,Land and Building(s),,0.007435,,Investment Properties
"Bristol, City of",2/2/2024,189,Library,Horfield Library,Horfield Library Filton Avenue Horfield Bristol BS7 0BD,,Filton Avenue,Bristol,BS7 0BD,Lockleaze,360251,177472,Freehold,,Land and Building(s),270,0.076712,Yes,Direct Service
"Bristol, City of",2/2/2024,191,Nursery School,Filton Avenue Nursery School And Childrens Centre,Filton Avenue Nursery School And Childrens Centre Blakeney Road Horfield Bristol BS7 0DL,,Blakeney Road,Bristol,BS7 0DL,Lockleaze,360148,177014,Freehold,,Land and Building(s),848.7,0.338736,Yes,Direct Service
"Bristol, City of",2/2/2024,195,House/Houses,Filton Avenue Junior School House,Filton Avenue Junior School House 17 Lockleaze Road Horfield Bristol BS7 9RP,17,Lockleaze Road,Bristol,BS7 9RP,Lockleaze,360029,177014,Freehold Reversion,,Land and Building(s),114.7,0.032735,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,201,Community Centre/Facilities,Former Lockleaze School Site,Former Lockleaze School Site Hogarth Walk Lockleaze Bristol BS7 9XT,,,,BS7 9XT,Lockleaze,361178,177519,Freehold,,Land and Building(s),,0.047531,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,212,Primary School,Shirehampton Primary School,Shirehampton Primary School St Marys Walk Bristol BS11 9RR,,St Marys Walk,Bristol,BS11 9RR,Avonmouth & Lawrence Weston,352735,176863,Freehold,,Land and Building(s),2530.6,1.031833,Yes,Direct Service
"Bristol, City of",2/2/2024,217,Community Centre/Facilities,Cotswold Community Centre,Cotswold Community Centre Dursley Road Shirehampton Bristol BS11 9XH,,,,BS11 9XH,Avonmouth & Lawrence Weston,353563,176483,Freehold,,Land and Building(s),116.2,0.051089,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,219,Primary School,St Bernards RC VA Primary School,St Bernards RC VA Primary School Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353155,176700,Education Acts Agt,,Land and Building(s),1015.7,0,Yes,Direct Service
"Bristol, City of",2/2/2024,221,Library,Shirehampton Library,Shirehampton Library Shirehampton Public Hall 32 Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353201,176657,Freehold,,Land and Building(s),130.6,0.009,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,222,Community Centre/Facilities,Shirehampton Public Hall,Shirehampton Public Hall 32 Station Road Shirehampton Bristol BS11 9TU,32,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353201,176656,Freehold,,Land and Building(s),527,0.139465,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,87687,Land-Residential,Whittock Road - Land Opposite 211-233,Whittock Road - Land Opposite 211-233 Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,361833,168826,Freehold,,Land only,,0.295743,Yes,Community
"Bristol, City of",2/2/2024,28,House/Houses,Notton House School - House Number 1,Notton House School - House Number 1 Notton House School Academy 28 Notton Lacock Wilts SN15 2NF,,,,SN15 2NF,Outside Bristol,391035,169945,Freehold Reversion,,Land and Building(s),,0.006571,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,39,Field Study Centre/Camp,Dean Field Study Centre,Dean Field Study Centre New Road Parkend Lydney Gloucestershire GL15 4JA,,,,GL15 4JA,Outside Bristol,361663,207802,Freehold,,Land and Building(s),1213.9,0.983078,Yes,Direct Service
"Bristol, City of",2/2/2024,127644,Club/Cinema/Theatre,The Watershed,The Watershed 1 Canons Road Harbouside Bristol BS1 5TX,,Canons Road,Bristol,BS1 5TX,Hotwells & Harbourside,358534,172702,Leasehold,,Building(s) only,,0.333445,,Investment Properties
"Bristol, City of",2/2/2024,44,Refuse Treatment Works,Avonmouth Refuse Disposal Works,Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286,179876,Freehold,,Land and Building(s),1058.4,3.363599,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,45,Civic Amenity Site,Avonmouth Household Waste Recycling Centre,Avonmouth Household Waste Recycling Centre Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286,179876,Freehold,,Land and Building(s),,3.01607,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,50,Primary School,Henbury Court Primary Academy,Henbury Court Primary Academy Trevelyan Walk Henbury Bristol BS10 7NY,,,,BS10 7NY,Henbury & Brentry,356517,179139,Freehold Reversion,,Land and Building(s),3067.8,3.874448,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,85768,Land-Farm/Agriculture,Cafe And Play Area,Cafe And Play Area St Werburghs City Farm Watercress Road St Werburghs Bristol BS2 9YJ,,Watercress Road,Bristol,BS2 9YJ,Ashley,359932,175199,Freehold,,Land only,,0,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,8280,Community Centre/Facilities,Beechwood Club,Beechwood Club Beechwood Road Fishponds Bristol BS16 3TR,,Beechwood Road,Bristol,BS16 3TR,Frome Vale,363443,175852,Freehold,,Land and Building(s),234,0.085983,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,85663,Community Centre/Facilities,Gatehouse Tenants Centre,,,,,BS13 ,Hartcliffe & Withywood,,,Freehold,Vacant,Land and Building(s),376,0.058548,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1150,Community Centre/Facilities,Willow Park CE VC School - St Michaels Memorial Parish Hall,Willow Park CE VC School - St Michaels Memorial Parish Hall Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358468,173287,Leasehold,,Building(s) only,308,0.031261,Yes,Direct Service
"Bristol, City of",2/2/2024,133252,Primary School,Easton Church Of England VA Primary School - Playing Field,Easton Church Of England VA Primary School - Playing Field Beaufort Street Easton Bristol BS5 0SQ,,,,BS5 0SQ,Lawrence Hill,360370,173584,Freehold,,Land only,,1.045783,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,87519,Shop/Kiosk,1-49 Filwood Broadway And Barnstaple Court,1-49 Filwood Broadway And Barnstaple Court Knowle Bristol BS4 1JL,,,,BS4 1JL,Filwood,359408,169651,Freehold Reversion,,Land and Building(s),7108,0.5861,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,86996,Land-Residential,Rosedale Road - Land Rear Of 10-20,Rosedale Road - Land Rear Of 10-20 Rosedale Road Fishponds Bristol BS16 4EE,,,,BS16 4EE,Hillfields,363947,175437,Freehold,,Land only,,0.060434,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,87072,Day Centre,Bristol Community Links Central,,,,,BS5 ,Easton,,,Freehold,Vacant,Land and Building(s),163.2,0.018573,Yes,Direct Service
"Bristol, City of",2/2/2024,86834,Land-Housing Non-Council Development,Sommerville,Sommerville Cricket Lane Southmead Bristol BS10 6TW,,Cricket Lane,Bristol,BS10 6TW,Southmead,357460,177944,Freehold,,Land only,,0.512902,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,9092,Offices,St Annes House,St Annes House St Annes Road St Annes Park Bristol BS4 4AB,,St Annes Road,Bristol,BS4 4AB,Brislington East,362040,172779,Freehold,,Land and Building(s),2409.9,0.483193,Yes,Direct Service
"Bristol, City of",2/2/2024,124687,Land-Community Development,South Bristol Community Hospital Site,South Bristol Community Hospital Site Hengrove Promenade Hengrove Bristol BS14 0DE,,,,BS14 0DE,Hengrove & Whitchurch Park,359546,168322,Freehold,,Land only,,1.582525,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,85271,Industrial/Workshop,Castle Works,Castle Works Princess Street Bedminster Bristol BS3 4AH,,Princess Street,Bristol,BS3 4AH,Southville,359347,171805,Freehold,,Land and Building(s),,0.2856,,Investment Properties
"Bristol, City of",2/2/2024,121146,Primary School,Horfield Church Of England VC Primary School,Horfield Church Of England VC Primary School Bishop Manor Road Westbury-on-Trym Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358794,177379,Mixed Title,,Land and Building(s),,1.501031,Yes,Direct Service
"Bristol, City of",2/2/2024,138892,Land-Housing Council Development,Peverell Court Lane - Housing Development,Peverell Court Lane - Housing Development Peverell Drive Henbury Bristol BS10 7FT,,Peverell Court Lane,Bristol,BS10 7FT,Henbury & Brentry,356933,179408,Freehold,,Land only,,0.111844,Yes,Direct Service
"Bristol, City of",2/2/2024,83764,Scout/Guide Building Land,Fir Tree Lane Scout Hall,Fir Tree Lane Scout Hall Fir Tree Lane St George Bristol BS5 8ZZ,,Fir Tree Lane,Bristol,BS5 8ZZ,St George Troopers Hill,363271,173004,Freehold,,Land only,87.2,0.196698,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,120949,Childrens Centre,Stoke Park Childrens Centre,Stoke Park Childrens Centre Stoke Park Primary School Brangwyn Grove Lockleaze Bristol BS7 9BY,,Romney Avenue,Bristol,BS7 9BY,Lockleaze,360752,176492,User Rights,,Building(s) only,,0.028147,Yes,Direct Service
"Bristol, City of",2/2/2024,4566,Store/Depot/Warehouse,The Pound Depot,The Pound Depot Clifton Down Clifton Bristol BS8 3HB,,Clifton Down,Bristol,BS8 3HB,Stoke Bishop,356871,174268,Management Agreement,,Land and Building(s),199.2,0,Yes,Direct Service
"Bristol, City of",2/2/2024,82694,Land-Retail/Commercial,The South Building,The South Building Canons Road Harbourside Bristol BS1 5UH,,,,BS1 5UH,Hotwells & Harbourside,358444,172517,Freehold,,Land only,,0.173863,,Investment Properties
"Bristol, City of",2/2/2024,84563,Garage/Garages/Car Parking - Domestic,Westbury Court Garages Block,Westbury Court Garages Block Chock Lane Westbury-on-Trym Bristol BS9 3HA,,Chock Lane,Bristol,BS9 3HA,Westbury-on-Trym & Henleaze,357480,177325,Freehold,,Land and Building(s),,,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,84069,Fire Station,Smoke Lane - Fire Training Centre,Smoke Lane - Fire Training Centre Avonmouth Bristol BS11 0YA,,Washingpool Lane,Bristol,BS11 0YA,Avonmouth & Lawrence Weston,353047,180985,Freehold,,Land and Building(s),,1.772093,,Investment Properties
"Bristol, City of",2/2/2024,84175,Land-Allotments-Statutory,Troopers Hill Allotments - Land For Caravan Storage,Troopers Hill Allotments - Land For Caravan Storage Cousins Lane St George Bristol,,Cousins Lane,Bristol,BS5 8JU,St George Central,363011,173394,Freehold,,Land only,,0.206504,Yes,Community
"Bristol, City of",2/2/2024,138492,Land-Open Space,Junction 3 Open Space,Junction 3 Open Space Lower Ashley Road Baptist Mills Bristol  BS5 0YL,,,,BS5 0YL,Lawrence Hill,360231,174280,Freehold,,Land only,,0.179808,Yes,Community
"Bristol, City of",2/2/2024,139406,Public Conveniences,St George Park - Public Conveniences,St George Park - Public Conveniences Lake View Road St George Bristol BS5 9EN,,,,BS5 9EN,St George West,361929,173737,Freehold,,Land and Building(s),38.1,0.004155,Yes,Direct Service
"Bristol, City of",2/2/2024,139405,Public Conveniences,Eastville Park - Public Conveniences,Eastville Park - Public Conveniences Park Avenue Eastville Bristol BS5 6QL,,Fishponds Road,Bristol,BS5 6QL,Eastville,361901,175140,Freehold,,Land and Building(s),,0.001614,Yes,Direct Service
"Bristol, City of",2/2/2024,80060,Land-Car/Lorry Park,Filton Road Car Park,Filton Road Car Park Filton Road Horfield Bristol,,Filton Road,Bristol,BS7 0SG,Horfield,359879,178119,Freehold,,Land only,,0.20087,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,139252,Garage/Garages/Car Parking - Domestic,Dursley Road - Parking Area Adj 16 Charbury Walk,Dursley Road - Parking Area Adj 16 Charbury Walk Dursley Road Shirehampton Bristol BS11 9UU,,,,BS11 9UU,Avonmouth & Lawrence Weston,353405,176371,Freehold,,Land only,,0.015697,Yes,Direct Service
"Bristol, City of",2/2/2024,79846,Training/Community/Further Education,City Learning Centre And St Pauls Library,City Learning Centre And St Pauls Library 94-96 Grosvenor Road St Pauls Bristol BS2 8XJ,96,Grosvenor Road,Bristol,BS2 8XJ,Ashley,359663,174111,Freehold,,Land and Building(s),1695.8,0.193738,Yes,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,79611,Special School,Briarfield Centre,Briarfield Centre Snowdon Road Fishponds Bristol BS16 2HD,,,,BS16 2HD,Eastville,362584,175838,Freehold,,Land and Building(s),,0.247525,Yes,Direct Service
"Bristol, City of",2/2/2024,79633,Training/Community/Further Education,Autistic Spectrum Disorder Centre,Autistic Spectrum Disorder Centre Oasis Academy Brislington Hungerford Road Brislington Bristol BS4 5EY,,Hungerford Road,Bristol,BS4 5EY,Brislington West,362563,169780,Management Agreement,,Building(s) only,,0.143097,Yes,Direct Service
"Bristol, City of",2/2/2024,79883,Land-Dock/Dockyard,Albion Dry Dock,Albion Dry Dock Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6TZ,,Hanover Place,Bristol,BS1 6TZ,Hotwells & Harbourside,357765,172369,Freehold,,Land only,0,0.675263,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,128926,Offices,Alder Court VSH - Office Accommodation For HSC Staff.,Alder Court VSH - Office Accommodation For HSC Staff. Chessington Avenue Bristol,,Chessington Avenue,Bristol,BS14 9EW,Hengrove & Whitchurch Park,360694,168427,Leasehold,,Building(s) only,,0.102807,Yes,Direct Service
"Bristol, City of",2/2/2024,80798,Garage/Garages/Car Parking - Domestic,Crown Hill - Garages Block Adj 52,Crown Hill - Garages Block Adj 52 Crown Hill St George Bristol,52,Crown Hill,Bristol,BS5 7JP,St George West,362713,173951,Freehold,,Land and Building(s),,0.003017,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,4571,Public Conveniences,Stoke Road Ladies Public Conveniences,Stoke Road Ladies Public Conveniences Stoke Road Stoke Bishop Bristol,,Stoke Road,Bristol,BS9 1FG,Stoke Bishop,357195,174938,Management Agreement,,Land and Building(s),60.7,0.007041,Yes,Direct Service
"Bristol, City of",2/2/2024,75720,Land-Quay/Marina/Slipway/Mooring,Cumberland Basin Bridge Island East Side,Cumberland Basin Bridge Island East Side Cumberland Basin Hotwells Bristol BS1 6XL,,,,BS1 6XL,Hotwells & Harbourside,357157,172261,Freehold,,Land only,,0.296716,,Infrastructure
"Bristol, City of",2/2/2024,80553,Shop/Kiosk,Union Street/Fairfax Street - Shopping Precinct,Union Street/Fairfax Street - Shopping Precinct City Centre Bristol BS1 2DF,17,Union Street,Bristol,BS1 2DF,Central,359004,173204,Freehold,,Land and Building(s),0,0.257151,,Investment Properties
"Bristol, City of",2/2/2024,61204,Offices,Market Chambers,Market Chambers St Nicholas Street City Centre Bristol BS1 1UB,,St Nicholas Street,Bristol,BS1 1UB,Central,358866,172935,Freehold,,Land and Building(s),522.6,0.0225,,Investment Properties
"Bristol, City of",2/2/2024,139815,Land/Bldgs held for Development,Gas Works - Former,Gas Works - Former Dovercourt Road Horfield Bristol BS7 9SL,,Dovercourt Road,Bristol,BS7 9SL,Lockleaze,360361,176759,Freehold,,Land only,,0.969111,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,61529,Land-Allotments-Statutory,Kersteman Road Allotments,Kersteman Road Allotments Kersteman Road Redland Bristol,,Kersteman Road,Bristol,BS6 7BX,Redland,358348,175037,Freehold,,Land only,,1.282249,Yes,Community
"Bristol, City of",2/2/2024,139160,Cafe/Restaurant,Victoria Street - Premises At,,,,,BS1 ,Central,,,Leasehold,Vacant,Building(s) only,,0.018142,,Investment Properties
"Bristol, City of",2/2/2024,139093,Land-Unused Land,Kenmare Road - Land Rear Of 120-122,Kenmare Road - Land Rear Of 120-122 Knowle Bristol BS4 1PG,,,,BS4 1PG,Filwood,359018,170198,Freehold,,Land only,,0.005568,Yes,Direct Service
"Bristol, City of",2/2/2024,63418,Land-Playingfield/Playground/Sports,Hengrove Play And Wheels Park,Hengrove Play And Wheels Park Hengrove Leisure Park Hengrove Way Hengrove Bristol BS14 0HR,,Hengrove Way,Bristol,BS14 0HR,Hengrove & Whitchurch Park,359441,168648,Leasehold,,Land and Building(s),184.9,1.030614,Yes,Direct Service
"Bristol, City of",2/2/2024,61882,Sports Building/Hall/Facility,South Bristol Sports Centre And Manor Farm Sports Ground,South Bristol Sports Centre And Manor Farm Sports Ground West Town Lane Brislington Bristol BS14 9EA,,West Town Lane,Bristol,BS14 9EA,Stockwood,361230,169859,Freehold,,Land and Building(s),2368.8,8.194487,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,60264,Industrial/Workshop,Unit 3 Albion Dockside Estate,Unit 3 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UT,Hotwells & Harbourside,357701,172256,Freehold,,Land and Building(s),84.4,0.013293,,Investment Properties
"Bristol, City of",2/2/2024,123739,Land-Community Development,South Bristol Skills Academy Site,South Bristol Skills Academy Site The Boulevard Whitchurch Lane Hengrove Bristol BS14 0DB,,,,BS14 0DB,Hengrove & Whitchurch Park,359435,168152,Freehold Reversion,,Land only,,2.23129,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,139884,Land-Residential,Ashland Road / Gay Elms Road - Land At,Ashland Road / Gay Elms Road - Land At Withywood Bristol BS13 9BB,,,,BS13 9BB,Hartcliffe & Withywood,357181,167898,Freehold,,Land and Building(s),,0.011148,Yes,Direct Service
"Bristol, City of",2/2/2024,138350,Land/Bldgs held for Development,Former Speedwell Fire Station,,,,,BS5 ,Eastville,,,Freehold,Vacant,Land and Building(s),,0.395809,Yes,Direct Service
"Bristol, City of",2/2/2024,9052,Offices,Wyndham Court,Wyndham Court 12-20 Pritchard Street St Pauls Bristol BS2 8RH,12,Pritchard Street,Bristol,BS2 8RH,Ashley,359413,173588,Freehold Reversion,,Land and Building(s),2750,0.118106,,Investment Properties
"Bristol, City of",2/2/2024,133452,Primary School,Bishop Road Primary School New Build,Bishop Road Primary School New Build Bishop Road Bishopston Bristol  BS7 8LX,,,,BS7 8LX,Redland,358619,175868,Freehold,,Land and Building(s),,0.142379,Yes,Direct Service
"Bristol, City of",2/2/2024,120952,Childrens Centre,Brentry And Henbury Childrens Centre,Brentry And Henbury Childrens Centre Brentry Lane Brentry Bristol BS10 6RG,,Brentry Lane,Bristol,BS10 6RG,Henbury & Brentry,357671,179503,Freehold,,Land and Building(s),86,0.462971,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,88215,Library,Bedminster Library,Bedminster Library 3 St Peters Court Bedminster Parade Bristol BS3 4AQ,,Bedminster Parade,Bristol,BS3 4AQ,Southville,358832,171865,Leasehold,,Building(s) only,406.5,0.051909,Yes,Direct Service
"Bristol, City of",2/2/2024,54003,Community Centre/Facilities,Butler House Community Room,Butler House Community Room Summerhill Road St George Bristol BS5 8HQ,,Summerhill Road,Bristol,BS5 8HQ,St George Central,362679,173636,Freehold,,Land and Building(s),,0.0448,Yes,Direct Service
"Bristol, City of",2/2/2024,122258,Primary School,Horfield CE VC Primary School Playing Fields,Horfield CE VC Primary School Playing Fields Bishop Manor Road Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358821,177296,Freehold,,Land only,,0.903703,Yes,Direct Service
"Bristol, City of",2/2/2024,136169,Land-Playingfield/Playground/Sports,Newquay Road - Childrens Playground,Newquay Road - Childrens Playground Newquay Road Knowle Bristol  BS4 1EG,,,,BS4 1EG,Knowle,359884,169698,Freehold,,Land only,,0.06656,Yes,Direct Service
"Bristol, City of",2/2/2024,123333,Offices,Victoria Park Lodge,Victoria Park Lodge Victoria Park Somerset Terrace Bedminster Bristol BS3 4LL,,Somerset Terrace,Bristol,BS3 4LL,Windmill Hill,359103,171392,Freehold,,Land and Building(s),162,0.007954,Yes,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,138547,Store/Depot/Warehouse,O And M Sheds,O And M Sheds Welsh Back City Centre Bristol BS1 4SB,,,,BS1 4SB,Central,358923,172500,Freehold,,Land and Building(s),,0.19904,,Assets Held for Sale
