Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,10514,Land-Industrial,807 Bath Road,807 Bath Road Brislington Bristol BS4 5NL,807,Bath Road,Bristol,BS4 5NL,Brislington East,362349,170360,Freehold,,Land only,,0.147719,,Investment Properties
"Bristol, City of",2/2/2024,6583,Shop/Kiosk,2 Jacobs Wells Road,2 Jacobs Wells Road Clifton Bristol BS8 1EA,2,Jacobs Wells Road,Bristol,BS8 1EA,Hotwells & Harbourside,357874,172633,Freehold,,Land and Building(s),180,0.00603,,Investment Properties
"Bristol, City of",2/2/2024,139168,Primary School,Stoke Bishop CE VC School - After School Club,Stoke Bishop CE VC School - After School Club Cedar Park Stoke Bishop Bristol BS9 1BW,,Cedar Park,Bristol,BS9 1BW,Stoke Bishop,355718,176253,Leasehold,,Building(s) only,,0.008746,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,139222,Childrens Homes,Blaise House,Blaise House 2 Richeson Close Henbury Bristol BS10 7FU,2,Richeson Close,Bristol,BS10 7FU,Henbury & Brentry,356773,178786,Management Agreement,,Land and Building(s),127.1,0.027706,Yes,Direct Service
"Bristol, City of",2/2/2024,5190,Land-Retail/Commercial,24 West Street,24 West Street Bedminster Bristol BS3 3LG,24,West Street,Bristol,BS3 3LG,Bedminster,358268,171346,Freehold,,Land only,100,0.007975,,Investment Properties
"Bristol, City of",2/2/2024,5057,Hotel/Guest House,Holiday Inns Crowne Plaza ,Holiday Inns Crowne Plaza  98 Victoria Street Temple Bristol BS1 6HY,,Victoria Street,Bristol,BS1 6HY,Central,359372,172589,Freehold Reversion,,Land and Building(s),0,0.292585,,Investment Properties
"Bristol, City of",2/2/2024,127498,Primary School,Brunel Field Primary School,Brunel Field Primary School Arthur Milton Street Bristol BS7 9JT,,College Road,Bristol,BS7 9JT,Bishopston & Ashley Down,359601,175635,Freehold,,Land and Building(s),2267,1.151295,Yes,Direct Service
"Bristol, City of",2/2/2024,7611,Land-Open Space,Lamplighters Playing Field,Lamplighters Playing Field Nibley Road Shirehampton Bristol BS11 9XW,,,,BS11 9XW,Avonmouth & Lawrence Weston,352884,176125,Freehold,,Land only,,4.569137,Yes,Community
"Bristol, City of",2/2/2024,9176,Offices,Merchants House,Merchants House Wapping Road City Centre Bristol BS1 4RH,,Wapping Road,Bristol,BS1 4RH,Central,358642,172250,Freehold,,Land and Building(s),5555,0.18241,,Investment Properties
"Bristol, City of",2/2/2024,3385,Land-Amenity,Dean Lane - Site Of 45,Dean Lane - Site Of 45 Dean Lane Bedminster Bristol BS3 1BS,,,,BS3 1BS,Southville,358390,171649,Freehold,,Land only,,0.013203,Yes,Direct Service
"Bristol, City of",2/2/2024,116054,Offices,Bristol Royal Infirmary,Bristol Royal Infirmary Upper Maudlin Street Bristol BS2 8HW,,Marlborough Street,Bristol,BS2 8HW,Central,358696,173538,Informal Agreement,,Building(s) only,,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,10352,Store/Depot/Warehouse,Unit 3 Barton Manor,Unit 3 Barton Manor St Philips Bristol BS2 0RX,,,,BS2 0RX,Lawrence Hill,360036,172928,Freehold Reversion,,Land and Building(s),0,0.103076,,Investment Properties
"Bristol, City of",2/2/2024,10327,Store/Depot/Warehouse,57 Days Road - Unit 2 ,57 Days Road - Unit 2  Days Road St Philips Bristol BS2 0QS,57,Days Road,Bristol,BS2 0QS,Lawrence Hill,360244,172835,Freehold,,Land and Building(s),0,0.048497,,Investment Properties
"Bristol, City of",2/2/2024,5017,Community Centre/Facilities,Redcatch Community Centre,Redcatch Community Centre Redcatch Road Knowle Bristol BS4 2EP,35,Redcatch Road,Bristol,BS4 2EP,Knowle,360488,170829,Freehold,,Land and Building(s),239.9,0.0814,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,5431,Offices,Spectrum House,Spectrum House Bond Street City Centre Bristol BS1 3LG,,,,BS1 3LG,Ashley,359355,173588,Freehold,,Land and Building(s),0,0.708397,,Investment Properties
"Bristol, City of",2/2/2024,5561,Land-Community Development,Former Filwood Service Station,,,,,BS4 ,Filwood,,,Freehold,Vacant,Land only,,0.112519,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,10914,Shop/Kiosk,36 High Street,36 High Street Portishead North Somerset BS20 6EN,,,,BS20 6EN,Outside Bristol,346702,176450,Freehold,,Land and Building(s),100,0.036157,,Investment Properties
"Bristol, City of",2/2/2024,10651,Industrial/Workshop,Units 1-10 The Polygon,Units 1-10 The Polygon Fourth Way Avonmouth Bristol BS11 9DP,,Fourth Way,Bristol,BS11 9DP,Avonmouth & Lawrence Weston,352970,178407,Freehold,,Land and Building(s),0,0.627603,,Investment Properties
"Bristol, City of",2/2/2024,10619,Store/Depot/Warehouse,Unit 2 Avonmouth Way,Unit 2 Avonmouth Way Avonmouth Trading Estate Avonmouth Bristol BS11 9YA,,Avonmouth Way,Bristol,BS11 9YA,Avonmouth & Lawrence Weston,352572,178486,Freehold,,Land and Building(s),0,0.936926,,Investment Properties
"Bristol, City of",2/2/2024,136707,Primary School,Wicklea Academy,Wicklea Academy Wick Road Brislington Bristol BS4 4HR,,,,BS4 4HR,Brislington West,362039,171966,Freehold Reversion,,Land and Building(s),,0.750225,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,10244,Retail Warehouse,Unit 18 Avon Valley Business Park,Unit 18 Avon Valley Business Park Chapel Way St Annes Bristol BS4 4EU,,Chapel Way,Bristol,BS4 4EU,Brislington East,362170,172633,Freehold,,Land and Building(s),,0.010213,,Investment Properties
"Bristol, City of",2/2/2024,10538,Land-Industrial,Dixon Road - Land For Sub-station Site 1494,Dixon Road - Land For Sub-station Site 1494 Dixon Road Brislington Bristol BS4 5QW,,,,BS4 5QW,Brislington East,362782,170687,Freehold,,Land only,,0.0023,,Investment Properties
"Bristol, City of",2/2/2024,7394,Shop/Kiosk,11 Nelson Parade,11 Nelson Parade Bedminster Bristol BS3 4JA,11,Nelson Parade,Bristol,BS3 4JA,Southville,358892,171931,Freehold,,Land and Building(s),164,0.0086,,Investment Properties
"Bristol, City of",2/2/2024,7450,Shop/Kiosk,26 And 27-29 College Green,26 And 27-29 College Green City Centre Bristol BS1 5SF,,,,BS1 5SF,Central,358371,172847,Freehold Reversion,,Land and Building(s),,0.039823,,Investment Properties
"Bristol, City of",2/2/2024,9124,House/Houses,Ecohome,Ecohome Smeaton Road Hotwells Bristol BS1 6XN,,Smeaton Road,Bristol,BS1 6XN,Hotwells & Harbourside,356866,172175,Freehold,,Land and Building(s),140.2,0.035269,Yes,Direct Service
"Bristol, City of",2/2/2024,9095,Shop/Kiosk,St James Barton 1-5 And The Horsefair 33-47,St James Barton 1-5 And The Horsefair 33-47 City Centre Bristol BS1 3JL,33,The Horsefair,Bristol,BS1 3JL,Central,359107,173466,Freehold Reversion,,Land and Building(s),0,0.3851,,Investment Properties
"Bristol, City of",2/2/2024,7683,Offices,Broad Street House,Broad Street House 5 - 8 Broad Street City Centre Bristol BS1 2HW,5,Broad Street,Bristol,BS1 2HW,Central,358846,173071,Freehold,,Land and Building(s),0,0.03515,,Investment Properties
"Bristol, City of",2/2/2024,7740,Offices,Prudential Buildings,Prudential Buildings Wine Street City Centre Bristol BS1 2PH,,Wine Street,Bristol,BS1 2PH,Central,358939,173107,Freehold Reversion,,Land and Building(s),0,0.1654,,Investment Properties
"Bristol, City of",2/2/2024,3757,Land-Car/Lorry Park,Stoke View Public Car Park,Stoke View Public Car Park Stoke View Road Fishponds Bristol BS16 3AE,,Stoke View Road,Bristol,BS16 3AE,Eastville,362709,175532,Freehold,,Land only,,0.1411,Yes,Direct Service
"Bristol, City of",2/2/2024,139012,Land-Amenity,Guildford Road - Land At ,Guildford Road - Land At  Ex Caretakers Depot Bristol BS4 4BE,22,Guildford Road,Bristol,BS4 4BE,Brislington East,362460,172715,Freehold,,Land only,,0.124533,Yes,Direct Service
"Bristol, City of",2/2/2024,3888,Store/Depot/Warehouse,Avonview Cemetery - Site Of Former Depot,Avonview Cemetery - Site Of Former Depot Beaufort Road St George Bristol,,Beaufort Road,Bristol,BS5 8ZZ,St George West,362055,173285,Freehold,,Land only,,0.043358,Yes,Direct Service
"Bristol, City of",2/2/2024,8305,Public House,Lime Kiln Public House,Lime Kiln Public House 17 St Georges Road City Centre Bristol BS1 5UU,,,,BS1 5UU,Hotwells & Harbourside,358160,172797,Freehold,,Land and Building(s),0,0.015996,,Investment Properties
"Bristol, City of",2/2/2024,8143,Land-Residential,Culverwell Road - Housing Development - Phase 4,Culverwell Road - Housing Development - Phase 4 Withywood Bristol BS13 9HB,,,,BS13 9HB,Hartcliffe & Withywood,357497,167596,Freehold,,Land only,,0.460792,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,10307,Store/Depot/Warehouse,24 Vale Lane,24 Vale Lane Bedminster Bristol BS3 5RU,5,Vale Lane,Bristol,BS3 5RU,Bishopsworth,358005,169937,Freehold,,Land and Building(s),,0.159657,,Investment Properties
"Bristol, City of",2/2/2024,3839,Shop/Kiosk,57 Broadmead,57 Broadmead City Centre Bristol BS1 3EA,57,Broadmead,Bristol,BS1 3EA,Central,359140,173322,Freehold Reversion,,Land and Building(s),0,0.0148,,Investment Properties
"Bristol, City of",2/2/2024,3845,Shop/Kiosk,75 Broadmead,75 Broadmead City Centre Bristol BS1 3DX,75,Broadmead,Bristol,BS1 3DX,Central,359094,173297,Freehold,,Land and Building(s),0,0.0229,,Investment Properties
